County,Public School District,School Name,School Bldg Number,Administrator,Address,City,State,Zip,Phone Number,Email Address,Web Site Address,Grade,Profit/Non-Profit,Accredited,Residential School,Special Education,Gifted,,,
King,Bellevue,Bellevue Children's Academy,8292,Yuka Shimizu,14600 NE 24th St,Bellevue,WA,98007-3723,425.556.0791,yukashimizu@bcacademy.com,www.bcacademy.com,P-1,P,,,,,,,
King,Bellevue,Bellevue Children's Academy  2nd Location,801T,Yuka Shimizu,14640 NE 24th St,Bellevue,WA,98007-3723,425.556.0791,yukashimizu@bcacademy.com,www.bcacademy.com,2-5,P,,,,,,,
King,Northshore,Bellevue Christian Mack Elementary,8875,Kevin Dunning,"18250 168th Pl NE
(Mail: 1601 98th Ave NE
Clyde Hill 98004-3400)",Woodinville,WA,98072-9616,425.485.1824,kevin.dunning@bellevuechristian.org,www.bellevuechristian.org,P-6,NP,CSI,,,,,,
King,Bellevue,Bellevue Christian School,8091,Kevin Dunning,1601 98th Ave NE,Clyde Hill,WA,98004-3400,425.454.4402,kevin.dunning@bellevuechristian.org,www.bellevuechristian.org,7-12,NP,CSI,,Yes,Yes,,,
King,Bellevue,Bellevue Montessori School,8336,"Susan Locke, Med",2411 112th Ave NE,Bellevue,WA,98004-2048,425.454.7439,info@bellmontessori.org,www.bellmontessori.org,P-6,P,,,,,,,
Whatcom,Bellingham,Bellingham Christian School,8216,Shawn Cunningham,1600 E Sunset Dr,Bellingham,WA,98226-5631,360.733.7303,cunningham@bellinghamchristianschool.org,www.bellinghamchristianschool.org,P-8,NP,,,,,,,
King,Bellevue,Bel-Red Bilingual Academy,1460,Sue Tang,15061 Bel-Red Rd,Bellevue,WA,98007-4211,425.283.0717,principal@brbacademy.com,www.brbacademy.com,P-3,P,NWAC,,,,,,
King,Seattle,Bertschi School,8432,Rafael del Castillo,2227 10th Ave E,Seattle,WA,98102-4177,206.324.5476,rafaeldc@bertschi.org,www.bertschi.org,P-5,NP,NAIS,,,,,,
Kitsap,South Kitsap,Bethany Lutheran Elementary,8373,Shu-Ting Lai,151 Tremont St W,Port Orchard,WA,98366-3737,360.876.1300,bethany.lutheran@wavecable.com,www.BethanyLutheranES.org,P-8,NP,,,,,,,
Benton,Kennewick,Bethlehem Lutheran School,8001,Eric Haan,2505 W 27th Ave,Kennewick,WA,99337-2911,509.582.5624,bls-office@blcbls.org,www.blcbls.org,P-8,NP,NLSA,,,,,,
King,Bellevue,Big Brains Education,803X,David Zook,435 108th Ave NE,Bellevue,WA,98004-5536,425.653.1222,kinnikinik@gmail.com,bigbrainsprep.com,6-12,NP,NWAC,,Yes,Yes,,,
Cowlitz,Longview,Big Leaf Montessori School,803Y,Alicia Jackson,1428 22nd Ave,Longview,WA,98632-2828,360.200.8976,bigleafmontessori@gmail.com,bigleafmontessori.edu,1-6,NP,,,,,,,
King,Seattle,Billings Middle School,8530,Ann-Evan Williams,7217 Woodlawn Ave NE,Seattle,WA,98115-5335,206.547.4614,anneevanw@billingsmiddleschool.org,www.billingsmiddleschool.org,6-8,NP,NAIS,,,,,,
King,Seattle,Bishop Blanchet High School,8029,Sam Procopio,8200 Wallingford Ave N,Seattle,WA,98103-4599,206.527.7701,sprocopio@bishopblanchet.org,www.bishopblanchet.org,9-12,NP,WCEA,,,,,,
King,Bellevue,BK Academy,804P,Meera Shin,"14224 Bel Red Rd
(Mail: 6236 122nd Ave SE
Bellevue 98006-4445)",Bellevue,WA,98007-3911,425.449.2060,kaymypooch@yahoo.com,,P-5,P,,,,,,,
King,Bellevue,BK Play Academy for Gifted Children,800A,Ben Kwak,"14224 Bel Red Rd
(Mail: 6236 122nd Ave SE
Bellevue 98006-4445)",Bellevue,WA,98007-3911,425.633.2477,info@bkplay.org,www.bkplay.org,P-5,NP,,,,Gifted,,,
King,Tahoma,Blossoming Hill Montessori,801U,Teresa Marie Falavigna,23855 SE 216th St  ,Maple Valley,WA,98038-8402,425.276.5649,"teresa@blossominghill.org
office@blossominghill.org",www.blossominghill.org,P-6,P,,,,,,,
Pierce,Sumner,Bonney Lake Christian Academy,803Z,Susan Kobes,8201 Locust Ave E,Bonney Lake,WA,98391-8548,253.507.0235,"
susan.kobes@bonneylakechristianacademy.org",www.bonneylakechristianacademy.org,K-8,NP,,,,,,,
Okanogan,Brewster,Brewster Adventist Christian School,805E,John McCombs,115 Valley Rd,Brewster,WA,98812-9512,509.689.3213,"jmmcombs@brewsteradventistschool.com
jmguitars@gmail.com",www.brewsteradventistschool.com,P-9,NP,,,,,,,
Whatcom,Ferndale,Bridgeway Christian Academy,800D,Roxann Rose,858 W Smith Rd,Bellingham,WA,98226-9613,360.384.6500,roxann.rose@wwu.edu,www.bridgeway-christian-academy.org,K-5,NP,,,,,,,
King,Seattle,Bright Water Waldorf School (formerly Bright Water School 2016),1422,"Jayasri Ghosh, PhD",1501 Tenth Ave E  Suite 100,Seattle,WA,98102-4256,206.624.6176,jghosh@brightwaterschool.org,www.brightwaterschool.org,P-8,NP,,,,,,,
King,Lake Washington,Brightmont Academy--Redmond Campus (formerly Bellevue Campus 2015; formerly Educational Advancement Academy 2011  (now owned by Apex Learning)),8534,Julie Smith,"7345 164th Ave NE
(Mail: 1215 Fourth Ave  Suite 1500
Seattle WA 98161-1001)",Redmond,WA,98052-7846,425.373.0800,redmond@brightmontacademy.com,www.brightmontacademy.com ,6-12,P,NWAC,,,,,,
King,Issaquah,Brightmont Academy--Sammamish Campus (formerly Educational Advancement Academy 2011),1406,Aileen Sabbatani,"4570 Klahanie Drive SE, Ste 401
(Mail: 1215 4th Ave, Ste 1500
Seattle WA 98161-1001)",Issaquah,WA,98029-5812,425.836.1600,sammamish@BrightmontAcademy.com,www.brightmontacademy.com ,6-12,P,NWAC,,,,,,
King,Seattle,Brightmont Academy--Seattle Campus (formerly Educational Advancement Academy 2011),8384,Marcia Rodes,"9750 Third Ave NE  Ste 102               
(Mail: 1215 4th Ave  Suite 1500 
Seattle 98161-1001)",Seattle,WA,98115-2022,206.284.2300,"Marcia.Rodes@brightmontacademy.com
Seattle@brightmontacademy.com",www.brightmontacademy.com ,6-12,P,NWAC,,,,,,
King,Northshore,Brightmont Academy--Woodinville Campus,805F,Ruth Wilson,13300 NE 175th St  #1,Woodinville,WA,98072-6866,425.219.4993,ruth.wilson@brightmontacademy.com,www.brightmontacademy.com ,6-12,P,,,,,,,
Snohomish,Edmonds,Brighton School,8727,David Locke,21705 58th Ave W,Mtlake Terrace,WA,98043-3127,425.640.7067,david.locke@nlcinc.com,www.brightonschool.com,P-8,P,NWAC,,,,,,
King,Northshore,Brock's Academy (formerly Northwest Academy   2011),1446,Dr. Melodee R. Loshbaugh,17636 140th Ave NE,Woodinville,WA,98072-6977,425.483.1353,melodee.loshbaugh@gmail.com,brocksacademy.com,K-12,P,                                                                                        ,,,,,,
King,Federal Way,Brooklake Christian School,8944,Nathan Golden,629 S 356th St,Federal Way,WA,98003-8651,253.517.8247,ngolden@brooklake.org,www.brooklakechristianschool.org,P-5,NP,,,,,,,
King,Auburn,Buena Vista SDA School,8097,Ronald Trautwein,3320 Academy Dr SE,Auburn,WA,98092-7341,253.833.0718,bvprincipal@bvsda.org,www.bvsda.org,P-8,NP,SDA,,,,,,
Kitsap,South Kitsap,Burley Christian School,8586,Dennis Myers,"14687 Olympic Dr SE                                              
(Mail: PO Box 729                                      
Burley  98322-0729)",Port Orchard,WA,98367-8918,253.851.8619,Dennis@bbcol.org,bbcol.org/burley-christian-school,P-12,NP,,,,,,,
Spokane,Central Valley,Calvary Chapel Christian School,1461,Judy Wangemann,16409 E Broadway Ave,Spokane,WA,99037-9542,509.921.9460,info@calvaryspokanevalley.org,www.calvarychristianspokane.com,P-8,NP,,,,,,,
Benton,Kennewick,Calvary Christian School,8406,Bobi Whinery,10611 W Clearwater Ave,Kennewick,WA,99336-8621,509.735.1002,bobiwcctc@gmail.com,www.ccstricities.org,P-8,NP,,,,,,,
Clark,Camas,Camas Christian Academy (formerly Bright Futures Christian School (2013) and formerly Bright Futures Learning Center) (2010),1497,Cindie Boyles,717 SE Everett Rd,Camas ,WA,98607-7164,360.835.0558,principal@camaschristianacademy.org,www.camaschristianacademy.org,P-9,NP,NWAC,,,Yes,,,
Spokane,Mead,Can Learn Christian Academy (formerly Can Learn Academy  2012),1402,Carli Robinson,"12611 N Wilson St
(Mail: PO Box 9233 
Spokane 99208-9233)",Mead,WA,99021-8932,509.362.3418,canlearnacademy@gmail.com,www.canlearnacademy.org,K-12,NP,,,Yes,Yes,,,
Thurston,North Thurston,Capital Montessori School,802Q,Merissa White,730 Lilly Rd SE,Olympia,WA,98501-2115,360.438.3639,merissa@capitalmontessorischool.com,www.capitalmontessorischool.com,K-8,P,,,,,,,
Kitsap,Bainbridge Island,Carden Country School,8927,Christopher Harvey,"6974 Island Center Rd NE
(Mail: PO Box 10160 
Bainbridge 98110-1618)",Bainbridge Island,WA,98110-1618,206.842.2721,admin@cardencountryschool.org,www.cardencountryschool.com,K-8,NP,,,,,,,
Chelan,Wenatchee ,Cascade Christian Academy,8005,Stephanie Gates,600 N Western Ave,Wenatchee,WA,98801-1204,509.662.2723,stephanie.gates@ccawenatchee.org,www.ccawenatchee.org,K-12,NP,SDA,,,,,,
Pierce,Puyallup,Cascade Christian Junior High and High School (formerly Cascade Christian Schools-Junior/Senior High School) (2009),8237,Dr. Ken Friesen,811 21st St SE,Puyallup,WA,98372-4760,253.445.9706,friesenk@cascadechristian.org ,www.cascadechristian.org,7-12,NP,ACSI,,,,,,
Pierce,Bethel,Cascade Christian Schools-Frederickson Elementary (correction of spelling) (2009),8829,Tina deVries,3425 176th St E,Tacoma,WA,98446-1209,253.537.9339,devriest@cascadechristian.org,www.cascadechristian.org,P-6,NP,ACSI,,,,,,
Pierce,Sumner,Cascade Christian Schools—McAlder Elementary,804C,Tim Lorenz,15502 96th St E,Puyallup,WA,98372-4439,253.841.1776,LorenzT@cascadechristian.org,www.cascadechristian.org,P-6,NP,ACSI,,,,,,
Pierce,Puyallup,Cascade Christian Schools-Puyallup Elementary,8757,Terry Broberg,601 9th Ave SE     Suite B,Puyallup,WA,98372-3832,253.841.1776,terry@cascadechristian.org ,www.cascadechristian.org,K-6,NP,ACSI,,,,,,
Whatcom,Bellingham,Cascades Montessori Middle School,803i,Michael McCune,2710 McKenzie Ave,Bellingham,WA,98225-6940,360.306.8723,info@cascadesmiddle.org,www.cascadesmiddle.org,7-8,NP,,,,,,,
King,Lake Washington,Cascadia Montessori School,8470,Marilyn J. Franklin,4239 162nd Ave NE,Redmond,WA,98052-5469,425.881.2885,mfranklin@cascadiamontessori.com,www.cascadiamontessori.com,K-4,P,,,,,,,
Clark,Evergreen 114,Cascadia School,8969,Danielle Benge,10606 NE 14th St,Vancouver,WA,98664-4304,360.944.8096,admin@cascadiaschool.org,cascadiaschool.org,1-8,NP,,,,,,,
Spokane,Spokane,Cataldo School,8191,Dr. Mark Selle,455 W 18th Ave,Spokane,WA,99203-2099,509.624.8759,mselle@cataldo.org,www.cataldo.org,P-8,NP,WCEA,,,,,,
King,Lake Washington,Cedar Crest Academy,800U,Heather Carpenter,2125 112th Ave NE,Bellevue,WA,98004-2948,425.454.1234,heatherc@cedarcrestacademy.org,www.cedarcrestacademy.org,P-4,P,,,,,,,
King,Bellevue,Cedar Park Christian School--Bellevue Campus (formerly Neighborhood Christian School) (2010),8665,Dr. Clint Behrends/Susan Zirschky,625 140th Ave NE,Bellevue,WA,98005-3498,425.746.3258,susan.zirschky@cedarpark.org,www.cpcsschools.com,P-6,NP,NWAC,,,,,,
Snohomish,Edmonds,Cedar Park Christian School--Lynnwood Campus (Formerly North Sound Christian Schools-Lynnwood Campus) (2009),8660,Jan Isakson,17931 64th Ave W,Lynnwood,WA,98037-7106,425.742.9518,jan.isakson@cedarpark.org,www.cpcsschools.com,P-6,NP,NWAC,,,,,,
Snohomish,Everett,Cedar Park Christian School—Mill Creek Campus (formerly Everett Campus  (2013)  (formerly Cedar Park Christian School) (2010)),8537,"Dr. Clint Behrends
Garron Smith","13000 21st Dr SE                               
(mail: PMB 641 13300 Bothell-Everett Hwy
Mill Creek  98012-5312)",Everett,WA,98208-7103,425.337.6992,garron.s@cedarpark.org,www.cpcsschools.com,P-8,NP,NWAC,,,,,,
Snohomish,Edmonds,Cedar Park Christian School--Mountlake Terrace Campus  (formerly North Sound Christian Schools-Jr/Sr High Campus) (2009),8935,Al Carpenter,23607 54th Ave W,Mountlake Terrace,WA,98043-5238,425.774.7773,al.carpenter@cedarpark.org,www.cpcsschools.com,7-12,NP,NWAC,,,,,,
King,Northshore,Cedar Park Christian Schools,8771,Dr. Clinton Behrends,16300 112th Ave NE,Bothell,WA,98011-1535,425.488.9778,clint.b@cedarpark.org,www.cpcsschools.com,P-12,NP,NWAC,,,,,,
King,Tahoma,Cedar River Montessori School,8620,Erin Karnofski,15828 SE Jones Rd,Renton,WA,98058-8141,425.271.9614,misserin@cedarrivermontessori.org,www.cedarrivermontessori.org ,P-8,NP,,,,,,,
Clark,Battle Ground,Cedar Tree Classical Christian School (formerly Christian Classical School) (2009),1487,Tom Bradshaw,20601 NE 29th Ave                  ,Ridgefield,WA,98642-8675,360.887.0190,tbradshaw@cedartreeschool.org,www.cedartreeschool.org,K-12,NP,,,,,,,
Whatcom,Bellingham,Cedar Tree Montessori,8390,Carrie Bishop Cruz,2114 Broadway Ave,Bellingham,WA,98225-3308,360.714.1762,carrie.bishop-cruz@cedar-tree.org,www.cedar-tree.org,P-6,NP,,,,,,,
Jefferson,Chimacum,Cedarbrook Adventist Christian School,8027,Gregory A. Reseck,"461 Kennedy Rd                                                 
(Mail: PO Box 150                       
Port Hadlock 98339-0150)",Port Hadlock,WA,98339-9719,360.385.4610,greseck56@gmail.com,cedarbrookadventistschool.com,1-8,NP,SDA,,,,,,
Lewis,Centralia,Centralia Christian School,8616,Ann Stout,"1315 South Tower Ave
(Mail: PO Box 1209 
Centralia 98531-0726)",Centralia,WA,98531-2340,360.736.7657,astout@centraliachristianschool.org,www.centraliachristianschool.org,P-10,NP,,,,,,,
Pierce,University Place,Charles Wright Academy,8147,Matt Culberson,7723 Chambers Creek Rd W,University Place,WA,98467-2099,253.620.8311,mculberson@charleswright.org,www.charleswright.org,P-12,NP,NAIS,,,,,,
King,Bellevue,Chestnut Hill Academy South Campus,1463,Holly Senaga,13633 SE 26th St,Bellevue,WA,98005-4209,425.372.2800,hsenaga@chestnuthillacademy.com,www.chestnuthillacademy.com,K-5,P,NWAIS,,,,,,
Benton,Richland,Childrens Garden Montessori,8225,Cheryl Ornstein,2440 Garlick Blvd,Richland,WA,99354-1786,509.375.1638,Director.richland@childrensgardentricities.com ,,1-2,p,,,,,,,
King,Renton,Children's Institute for Leanring Differences (formerly Child School-New Heights School at Children's Institute for Learning Differences (CHILD) (formerly Child School - New Heights School at Children's Inst  2017),8958,Dominic Jimenez,2640 Benson Rd S,Renton,WA,98055-5106,206.232.8680 ext. 201,dominicj@CHILDnow.org,www.childrensinstitute.com,K-12,NP,,,Yes,,,,
Kitsap,Central Kitsap,Christ the King Lutheran School,800E,Chris Hintz,8065 Chico Way NW,Bremerton,WA,98312-1049,360.692.8799,principal@ctk-wels.org,www.ctk-wels.org,P-8,NP,,,,,,,
Benton,Richland,Christ the King School,8003,Sheila LaSalle,1122 Long Ave,Richland,WA,99354-3315,509.946.6158,Slasalle@ckschool.net,www.ckschoolrichland.org,P-8,NP,,,,,,,
King,Seattle,Christ the King School,8031,Joanne Cecchini,415 N 117th St,Seattle,WA,98133-8309,206.859.5111,jcecchini@ckseattle.org,www.ckseattle.org,P-8,NP,WCEA,,,,,,
Yakima,Yakima,Christ the Teacher Catholic School (formerly St. Paul Cathedral School 2017),8231,Heather Remillard ,5508 W Chestnut Ave,Yakima,WA,98908,509.575.5604,hremillard@stpaulsch.org,www.stpaulsch.org,P-8,NP,,,,,,,
King,Federal Way,Christian Faith School,8772,Debbie Schindler,33645 20th Ave S,Federal Way,WA,98003-7743,253.943.2500,DebbieS@christianfaithschool.com,www.christianfaithschool.com,P-12,NP,NWAC,,,,,,
Lincoln,Reardan-Edwall,Christian Heritage School,8696,Jonathan Belgarde,48009 Ida Ave E   ,Edwall,WA,99008-8502,509.236.2224,chsprincipal@centurytel.net,chspatriots.com,K-12,NP,,,,,,,
Yakima,Zillah,Christian Worship Center Academy (formerly Christian Worship Center Elementary 2017),8398,Daren Fickel,"204 Cheyne Rd                    
(Mail: PO Box 747                    
Zillah 98953-0747)",Zillah,WA,98953-9764,509.829.6935,daren.fickel@gmail.com,www.cwczillah.org,P-12,NP,,,,,,,
King,Northshore,Chrysalis School,8766,Karen L. Fogle,"15900 Woodinville-Red RD
(Mail: 14241 NE Wdnvlle Dvll Rd #243
Woodinville 98072-8564)",Woodinville,WA,98072-4541,425.481.2228,karenf@chrysalis-school.com,www.chrysalis-school.com,7-12,P,NWAC,,Yes,Yes,,,
King,Northshore,Chrysalis School,8897,Karen L. Fogle,"17005 140th Ave NE
(Mail: 14241 NE Wdnvlle Dvll Rd  #243
Woodinville 98072-8564)",Woodinville,WA,98072-6902,425.481.2228,karenf@chrysalis-school.com,chrysalis-school.com,K-6,P,NWAC,,Yes,Yes,,,
Clark,Battle Ground,Columbia Adventist Academy,8012,Jeff Jackson,11100 NE 189th St,Battle Ground,WA,98604-9496,360.687.3161,jackje@caaschool.org,caaschool.org,9-12,NP,SDA,,,,,,
Stevens,Colville,Colville Valley Junior Academy,1477,June Graham,139 E Cedar Lp,Colville,WA,99114-9237,509.684.6830,robjunegraham@gmail.com,www.mycvja.org,K-9,NP,SDA,,,,,,
Thurston,North Thurston,Community Christian Academy,8311,Ken DeLeon,4706 Park Center Ave NE,Lacey,WA,98516-5338,360.493.2223,kdeleon@foundationcampus.org,www.olympiachristianschool.org,P-8,NP,,,,,,,
Pierce,Tacoma,Community Montessori ,1496,CathyRaye Hyland,1407 South I St,Tacoma,WA,98405-5026,253.627.7554,cathyland@comcast.net,www.communitymontessori.net,P-8,NP,,,,Yes,,,
King,Seattle,Concordia Lutheran School,8032,Jodie Laing,7040 36th Ave NE,Seattle,WA,98115-5966,206.525.7407,admin@concordiaseattle.com,www.concordiaseattle.com,P-8,NP,NLSA,,,,,,
Snohomish,Monroe,Cornerstone Academy,1464,Michelle Jones,16910 161st Ave SE,Snohomish,WA,98290-6615,425.892.3030,"michelle.jones@thecornerstoneacademy.org
office@thecornerstoneacademy.org",www.thecornerstoneacademy.org,P-12,NP,,,,,,,
Clark,Evergreen 114,Cornerstone Christian Academy (formerly Cornerstone Christian School–2014),8683,"William Gibbons
Michael Hoff",7708 NE 78th St,Vancouver,WA,98662-3632,360.256.9715,"bgibbons@ccak12.net
mhoff@ccak12.net",www.ccak12.net,P-8,NP,NWAC,,,,,,
Whatcom,Lynden,Cornerstone Christian School,8587,Darryn Kleyn,8872 Northwood Rd,Lynden,WA,98264-9363,360.318.0663,dkleyn@cornerstoneschool.us,www.cornerstoneschool.us,1-12,NP,,,,,,,
Thurston,Tumwater,Cornerstone Christian School,8966,Tricia Davis,6601 Fairview Rd SW,Olympia,WA,98512-7052,360.923.0071,"tricia.davis@ccsoly.com
cornerstoneolympia@gmail.com",www.ccsoly.com,P-8,NP,,,,,,,
King,Lake Washington,Countryside Montessori School,8858,Teresa S. Smith,13630 100th Ave NE Bldg 2,Kirkland,WA,98034-5200,425.823.2211,triesmith@hotmail.com,www.countrysidemontessorichildcarecenter.com,P-3,P,,,,,,,
Lincoln,Reardan-Edwall,Countryside SDA Elementary (Formerly Countryside Schl)   (2010),8458,Phyllis Radu,12107 W Seven Mile Rd,Spokane,WA,99224-9315,509.466.8982,countrysidesda@gmail.com,http://www.csdae.org,1-8,NP,SDA,,,,,,
Whatcom,Lynden,Covenant Christian School,8474,Fred Hanko,9088 Northwood Rd,Lynden,WA,98264-9389,360.354.5436,ccslyndenwa@juno.com,,K-8,NP,,,,,,,
Pierce,Tacoma,Covenant High School,8265,Dave Miller,620 S Shirley St,Tacoma,WA,98465-2531,253.759.9570,dmiller@chstacoma.org  ,chstacoma.org,9-12,NP,ACSI,,,,,,
Lewis,White Pass,Cowlitz School at the Confluence,803J,Cindie Furman,"408 A Craig Road
(Mail: PO Box 509 
Packwood WA 98361-0509)",Packwood,WA,98361,360.464.2311,Cowlitzschoolattheconfluence@gmail.com,,7-12,NP,,Yes,,,,,
Grant,Moses Lake,Crestview Christian School,8658,Melissa Wallen,1601 W Valley Rd,Moses Lake,WA,98837-1466,509.765.4632,mrswallen@hotmail.com,www.crestviewadventist.org,P-9,NP,SDA,,,,,,
Kitsap,Central Kitsap,"Crosspoint Christian School (formerly Crosspoint Academy and formerly Kings West School) (2009, 2012)",8367,"Andy Alford
Nick Sweeney",4012 Chico Way NW ,Bremerton,WA,98312-1334,360.377.7700,"andy.alford@gatewaychristianschools.org
nick.sweeney@gatewaychristianschools.org",www.gatewaychristianschools.org,K-12,NP,NWAC,,,,,,
Snohomish,Edmonds,Cypress Adventist School,8164,Dea Bienhoff,21500 Cypress Way  Suite A,Lynnwood,WA,98036-7999,425.775.3578,bienhoff@cypresssda.com,www.cypressschool.org,P-8,NP,SDA,,,,,,
King,Kent,Dancing Pines Montessori (formerly The Well-Trained Mind Montessori 2017),802L,Kelly Severson-Kunz,19455 136th Place SE,Renton,WA,98058-7738,206.769.1331,kellygirlkunz@comcast.net,www.welltrainedmindmontessori.com,P-4,P,,,,Yes,,,
King,Bellevue,Dartmoor School--Bellevue ,8933,Andrew Wahl,"13401 Bel Red Road                          
(Mail: 2340 130th Ave NE Ste 110                          
Bellevue WA 98005-1763)",Bellevue,WA,98005-2322,425.885.1123,andrew@dartmoorschool.org,www.dartmoorschool.org,1-12,P,NWAC,,Yes,,,,
